provider_id,score
10001,0.99
10005,1
10006,1
10007,1.06
10008,0.92
10011,1.03
10012,0.97
10016,1.03
10018,1.01
10019,1.11
10021,0.95
10022,0.93
10023,1.02
10024,1.03
10029,0.92
10032,0.86
10033,0.97
10034,0.93
10035,0.96
10036,0.93
10038,0.98
10039,1.01
10040,1.04
10044,0.9
10045,0.92
10046,0.92
10047,0.91
10049,1.04
10051,0.86
10052,0.82
10055,1.03
10056,1.03
10058,1.02
10059,1
10061,0.99
10062,1.01
10065,0.98
10069,0.92
10073,0.97
10078,1.02
10079,0.96
10083,0.99
10085,1
10086,1
10087,0.94
10089,0.98
10090,0.99
10091,0.84
10092,1
10095,1.02
10097,1.03
10099,0.99
10100,0.94
10101,0.96
10102,1
10103,1
10104,1.02
10108,0.93
10109,0.85
10110,1
10112,1.06
10113,0.98
10114,1
10118,0.93
10120,0.94
10125,0.97
10126,0.96
10128,0.89
10129,0.9
10130,0.91
10131,0.98
10138,1.21
10139,1.05
10144,0.99
10146,0.91
10148,0.91
10149,0.98
10150,1.01
10157,1.12
10158,0.94
10164,1
10168,0.98
10169,0.91
10172,NA
10173,NA
11300,NA
11302,NA
11304,NA
11305,NA
13300,NA
13301,NA
20001,0.91
20006,0.76
20008,0.84
20012,0.86
20017,0.89
20018,0.81
20024,0.88
20026,0.92
21301,NA
21302,NA
21303,NA
21304,NA
21305,NA
21306,NA
21307,NA
21308,NA
21309,NA
21310,NA
21311,NA
21312,NA
21313,NA
21314,NA
30001,0.93
30002,0.98
30006,1
30007,1
30010,1.05
30011,1.02
30012,0.98
30013,0.99
30014,1.01
30016,0.95
30022,1.02
30023,0.96
30024,1
30030,1.01
30033,0.86
30036,1
30037,0.98
30038,1.02
30043,0.94
30055,0.93
30061,0.93
30062,0.9
30064,0.98
30065,0.99
30068,0.88
30069,0.9
30071,0.71
30073,0.84
30074,NA
30077,0.85
30078,0.7
30083,0.98
30084,0.62
30085,0.99
30087,1.02
30088,0.98
30089,1.01
30092,1
30093,0.94
30094,1.02
30101,0.9
30103,0.93
30105,1.01
30107,0.9
30108,0.86
30110,0.93
30111,0.91
30112,1.09
30113,0.71
30114,0.99
30115,0.93
30117,0.88
30119,1
30120,1.08
30121,1.03
30122,0.98
30123,0.96
30130,0.87
30131,0.97
30132,1.15
30134,0.81
30136,NA
30137,0.91
31300,NA
31301,NA
31302,NA
31304,NA
31305,NA
31307,NA
31308,NA
31309,NA
31311,NA
31312,NA
31313,NA
31314,NA
31315,NA
31317,NA
33301,NA
33302,NA
33303,NA
40001,1.01
40002,1
40004,1.01
40007,1.01
40010,0.96
40011,0.83
40014,0.98
40015,1.15
40016,1.01
40017,0.88
40018,0.99
40019,0.89
40020,1.04
40022,0.98
40026,0.96
40027,1
40029,0.99
40036,1.02
40039,1.04
40041,1
40047,1.03
40050,1.06
40051,0.86
40055,1.03
40062,1.03
