provider_id,Measure,payment_measure_id,hospital_type,hospital_owner,hospital_overall_rating,mortality_code,readmission_code,effectiveness_of_care_code,timeliness_of_care_code,patient_experience_code,SIR_compared_to_national_code,SIR_score,spend_score,payment,value_of_care_category_code
10001,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,-1,0,0,-1,1,0.385,0.99,17230,0
10005,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,1,0,1,0,1,0.08,1,15882,-1
10006,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,-1,0,1,-1,1,0.474,1,17023,0
10011,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,0,0,-1,1,0.6,1.03,17656,0
10012,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,-1,1,0,1,-1,1,0.171,0.97,17090,-1
10016,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,0,0,0,1,0.549,1.03,17115,0
10019,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,-1,0,1,0,0,0.425,1.11,17392,0
10021,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,4,0,0,0,1,0,0,0,0.95,17207,0
10023,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,-1,0,-1,-1,-1,1.346,1.02,18688,0
10024,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,-1,-1,0,-1,0,0,1.272,1.03,17710,-1
10029,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,1,0,1,0,1,0.566,0.92,16053,0
10033,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - State,2,1,-1,-1,-1,1,1,0.601,0.97,17545,1
10034,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,0,0,0,0.313,0.93,17872,0
10035,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,-1,0,1,0,1,0.382,0.96,17113,-1
10036,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,0,0,1,-1,0,0.548,0.93,15518,0
10038,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,0,0,1,-1,0,0.542,0.98,15717,0
10039,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,-1,0,-1,1,1,0.449,1.01,16787,0
10040,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,-1,-1,-1,0,0.804,1.04,18074,0
10045,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,-1,0,0,1,0,2.111,0.92,14738,0
10046,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,0,-1,1,-1,1,0.541,0.92,18096,0
10049,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,-1,0,0,0,-1,0,0,1.04,15003,0
10055,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,-1,1,0,0,1,1,0.669,1.03,16588,0
10056,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,0,1,1,0.479,1.03,17036,0
10061,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,0,-1,-1,0,0,1.384,0.99,14465,0
10062,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,0,0,1,0,0,0,1.01,14818,0
10065,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,-1,0,0,0,0,0.82,0.98,19034,-1
10069,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,4,0,1,0,1,0,0,0.605,0.92,13055,0
10078,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,2,0,0,0,-1,-1,1,0.249,1.02,16599,-1
10079,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,0,0,1,0,0,0.668,0.96,15634,0
10083,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,0,1,0,0.743,0.99,14807,0
